parametro,tipo,valor_guideline,unidad,provisional,notas
1-2-Dichloroethane,químico,30,µg/l,,Carcinógeno (riesgo 10⁻⁵)
1-2-Dichloroethene,químico,50,µg/l,,
Dichloromethane,químico,20,µg/l,,
1-2-Dichloropropane,químico,40,µg/l,P,Provisional: incertidumbre en datos de salud
1-3-Dichloropropene,químico,20,µg/l,,Carcinógeno (riesgo 10⁻⁵)
Dichlorprop,químico,100,µg/l,,
Di(2-ethylhexyl)phthalate,químico,8,µg/l,,
Dimethoate,químico,6,µg/l,,
1-4-Dioxane,químico,50,µg/l,,Carcinógeno (riesgo 10⁻⁵). Derivado tanto por TDI como por modelado multietapa
Edetic acid (EDTA),químico,600,µg/l,,Aplica al ácido libre
Endrin,químico,0.6,µg/l,,
Epichlorohydrin,químico,0.4,µg/l,P,Provisional: incertidumbre en datos de salud
Ethylbenzene,químico,300,µg/l,C,"Valor basado en salud, pero problemas estéticos a concentraciones inferiores"
Fenoprop,químico,9,µg/l,,
Fluoride,químico,1500,µg/l,,Considerar volumen de agua consumida e ingesta de otras fuentes al fijar estándares nacionales
Hexachlorobutadiene,químico,0.6,µg/l,,
Hydroxyatrazine,químico,200,µg/l,,Metabolito de atrazina
Isoproturon,químico,9,µg/l,,
Lead,químico,10,µg/l,"A, T",Provisional: bajo nivel de cuantificación y de tratamiento práctico
Lindane,químico,2,µg/l,,
Manganese (total),químico,80,µg/l,P,"Provisional. Considerar aspectos estéticos y de salud al fijar estándares nacionales"
Mecoprop,químico,10,µg/l,,
Mercury (inorganic),químico,6,µg/l,,
Methoxychlor,químico,20,µg/l,,
Metolachlor,químico,10,µg/l,,
Microcystins (cyanotoxin),químico,1,µg/l,P,"Provisional. Exposición largo plazo. Corto plazo: 12 µg/l (P). Total microcistinas (suma congéneres, libre + celular)"
Molinate,químico,6,µg/l,,
Monochloramine,químico,3000,µg/l,,
Monochloroacetate,químico,20,µg/l,,
Nickel,químico,70,µg/l,,Basado en efectos a largo plazo pero protector para efectos a corto plazo
Nitrate (as NO3-),químico,50000,µg/l,,Basado en efectos a corto plazo pero protector a largo plazo
Nitrilotriacetic acid,químico,200,µg/l,,
Nitrite (as NO2-),químico,3000,µg/l,,Basado en efectos a corto plazo pero protector a largo plazo
N-Nitrosodimethylamine (NDMA),químico,0.1,µg/l,,
Pendimethalin,químico,20,µg/l,,
Pentachlorophenol,químico,9,µg/l,P,Carcinógeno (riesgo 10⁻⁵). Provisional: incertidumbre en datos de salud
Perchlorate,químico,70,µg/l,,
Saxitoxins (cyanotoxin),químico,3,µg/l,,"Exposición aguda. Total saxitoxinas (suma congéneres, libre + celular)"
Selenium,químico,40,µg/l,P,Provisional: incertidumbre en datos de salud
Simazine,químico,2,µg/l,,
Sodium dichloroisocyanurate,químico,50000,µg/l,,"Como NaDCC. Como ácido cianúrico: 40000 µg/l"
Styrene,químico,20,µg/l,C,"Valor basado en salud, pero problemas estéticos a concentraciones inferiores"
2-4-5-T (2-4-5-Trichlorophenoxyacetic acid),químico,9,µg/l,,
Terbuthylazine,químico,7,µg/l,,
Tetrachloroethene,químico,100,µg/l,,
Toluene,químico,700,µg/l,C,"Valor basado en salud, pero problemas estéticos a concentraciones inferiores"
Trichloroacetate,químico,200,µg/l,,
Trichloroethene,químico,8,µg/l,,
2-4-6-Trichlorophenol,químico,200,µg/l,C,"Carcinógeno (riesgo 10⁻⁵). Valor basado en salud, pero problemas estéticos a concentraciones inferiores"
Trifluralin,químico,20,µg/l,,
Trihalomethanes (sum ratio),químico,,,"","No tiene valor numérico único. La suma de la ratio concentración/GV de cada THM individual no debe exceder 1"
Uranium,químico,30,µg/l,P,"Provisional. Solo toxicidad química, no radiológica"
Vinyl chloride,químico,0.3,µg/l,,Carcinógeno (riesgo 10⁻⁵)
Xylenes,químico,500,µg/l,C,"Valor basado en salud, pero problemas estéticos a concentraciones inferiores"
Gross alpha activity (screening),radiológico,0.5,Bq/l,,Nivel de cribado. Si se supera: investigar radionucleidos específicos
Gross beta activity (screening),radiológico,1,Bq/l,,Nivel de cribado. Si se supera: investigar radionucleidos específicos (restar K-40)
Uranium-238,radionucleido (natural),10,Bq/l,,Nivel de orientación. Cabeza de serie de desintegración del uranio
Uranium-234,radionucleido (natural),1,Bq/l,,Nivel de orientación. Serie de desintegración del uranio
Thorium-230,radionucleido (natural),1,Bq/l,,Nivel de orientación. Serie de desintegración del uranio
Radium-226,radionucleido (natural),1,Bq/l,,Nivel de orientación. Serie de desintegración del uranio
Lead-210,radionucleido (natural),0.1,Bq/l,,Nivel de orientación. Serie de desintegración del uranio
Polonium-210,radionucleido (natural),0.1,Bq/l,,Nivel de orientación. Serie de desintegración del uranio
Thorium-232,radionucleido (natural),1,Bq/l,,Nivel de orientación. Cabeza de serie de desintegración del torio
Radium-228,radionucleido (natural),0.1,Bq/l,,Nivel de orientación. Serie de desintegración del torio
Thorium-228,radionucleido (natural),1,Bq/l,,Nivel de orientación. Serie de desintegración del torio
Caesium-134,radionucleido (artificial),10,Bq/l,,Nivel de orientación. Producto de fisión
Caesium-137,radionucleido (artificial),10,Bq/l,,Nivel de orientación. Producto de fisión
Strontium-90,radionucleido (artificial),10,Bq/l,,Nivel de orientación. Producto de fisión
Iodine-131,radionucleido (artificial),10,Bq/l,,Nivel de orientación. Producto de fisión / medicina nuclear
Tritium,radionucleido (artificial),10000,Bq/l,,Nivel de orientación. Producto de fisión de reactores nucleares
Carbon-14,radionucleido (artificial),100,Bq/l,,Nivel de orientación. Presente naturalmente y en compuestos orgánicos
Plutonium-239,radionucleido (artificial),1,Bq/l,,Nivel de orientación. Formado en reactores nucleares
Americium-241,radionucleido (artificial),1,Bq/l,,Nivel de orientación. Subproducto de reactores nucleares
